orig,flow_1990,flow_1995,flow_2000,flow_2005,flow_2010,flow_2017,
Afghanistan,0,389519,0,399965,2351104,5055219,8195807
Albania,431240,282616,105413,75987,1438451,1194524,3528231
Algeria,70469,161677,216368,215020,1211118,1833302,3707954
Angola,12,136759,0,0,533593,661595,1331959
Argentina,172430,220523,393076,401147,957190,996100,3140466
Armenia,534250,264347,110529,77361,870458,968686,2825631
Aruba,4,903,0,272,13709,19785,34673
Australia,205891,124276,249915,191453,442632,579912,1794079
Austria,5966,67648,9138,27715,597639,510455,1218561
Azerbaijan,125277,134428,1476,853,1433513,1215260,2910807
Bahamas,5803,8186,4425,6116,44098,44350,112978
Bahrain,31469,22510,21091,65,30015,63689,168839
Bangladesh,1213189,1063344,1664807,2966047,5384875,7796958,20089220
Barbados,8133,4568,5420,5719,105174,100113,229127
Belarus,73361,56116,46001,86064,1765877,1646080,3673499
Belgium,32976,45642,19925,25053,454166,561750,1139512
Belize,10068,10945,9419,7332,50245,58687,146696
Benin,0,59021,0,19136,532166,657594,1267917
Bhutan,101124,19354,0,2,44569,47077,212126
Bolivia,112580,114779,175265,206938,684998,880525,2175085
Bosnia & Herzegovina,1025247,0,18093,30115,1460639,1638113,4172207
Botswana,1979,1332,15109,20405,63092,82914,184831
Brazil,201667,189117,561086,550978,1367287,1708083,4578218
Brunei,16050,9478,54053,55156,24243,47462,206442
Bulgaria,354320,120676,74554,80669,1201191,1475224,3306634
Burkina Faso,276392,283738,247187,247001,1578271,1518063,4150652
Burundi,524214,427391,2008,0,356427,466962,1777002
Cambodia,0,0,129788,254784,350485,1114226,1849283
Cameroon,32981,28957,65244,96662,279388,400165,903397
Canada,215568,290119,130946,158614,1185392,1276770,3257409
Cape Verde,7924,13714,15493,21917,192531,5320,256899
Central African Republic,1466,4917,52832,35104,129394,728616,952329
Chad,53576,1957,0,156098,243544,411961,867136
Channel Islands,9189,9313,13076,12513,0,26639,70730
Chile,832,1264,80237,94610,634001,628656,1439600
China,908800,912814,2397656,2090305,8344726,10060253,24714554
Colombia,260280,170168,157825,152950,2123237,2750889,5615349
Comoros,7015,7551,10474,10253,38641,117846,191780
Congo,18878,88799,54421,9267,914787,1849863,2936015
Costa Rica,23943,19715,17686,18434,125300,143285,348363
Croatia,175642,211754,38742,17937,753529,1057021,2254625
Cuba,114822,156087,143725,190423,1219244,1598975,3423276
Cyprus,548,19,43,432,149557,179283,329882
Czech Republic,52893,39023,83382,21506,369737,484685,1051226
Denmark,18916,22241,28243,15515,259358,259282,603555
Djibouti,15107,0,3154,3627,13484,18082,53454
Dominican Republic,180077,201403,182451,186138,1035963,1497952,3283984
DR Congo,0,1502871,300912,105943,208741,292508,2410975
Ecuador,75305,252914,238985,253920,1147902,1100472,3069498
Egypt,1131538,951520,415980,403555,3741055,3444832,10088480
El Salvador,256118,401978,361478,297488,1269190,1559934,4146186
Equatorial Guinea,0,0,0,0,103130,133910,237040
Eritrea,364710,12747,466,4933,942238,645445,1970539
Estonia,109203,38368,8998,7198,169213,201868,534848
Ethiopia,42736,673731,352236,303938,620405,847712,2840758
Fiji,36230,43071,62395,32061,182183,209685,565625
Finland,9640,30452,20467,3844,329269,292426,686098
France,455268,426830,442188,564404,1738006,2207397,5834093
French Guiana,2492,1627,490,4421,0,4029,13059
French Polynesia,1349,986,1298,1415,4158,4029,13235
Gabon,10834,22240,33828,39058,25229,83129,214318
Gambia,36270,35253,28050,24633,64905,106 525,189111
Georgia,544459,390108,309877,150685,1058300,875753,3329182
Germany,14309,679955,461460,513701,3529460,4142199,9341084
Ghana,5102,78896,93758,149840,825414,865204,2018214
Greece,18881,41400,20886,30113,1209813,1000070,2321163
Grenada,5231,6323,5587,5500,68362,20948,111951
Guadeloupe,6902,8956,5670,7630,0,20948,50106
Guam,8298,12510,2239,1288,48689,2774,75798
Guatemala,361994,391969,309380,214760,871981,1071030,3221114
Guinea,0,311587,431927,303556,533308,467933,2048311
Guinea-Bissau,23075,25164,22154,12596,111374,106901,301264
Guyana,48782,45405,36110,43048,433473,461812,1068630
Haiti,138251,142083,175924,243511,1009751,1292950,3002470
Honduras,124320,184628,153614,103993,569731,790990,1927276
Hong Kong,114487,2412,299781,198075,718990,1059439,2393184
Hungary,29292,21909,12659,2017,462418,705169,1233464
Iceland,4635,3001,4765,2215,42693,39876,97185
India,1301441,1184777,2521885,3724386,11360823,16444830,36538142
Indonesia,769540,912994,1228862,1306825,2504297,4247814,10970332
Iran,1558991,56341,143893,570929,1295173,1237344,4862671
Iraq,182206,75543,594592,153765,1546767,1932429,4485302
Ireland,96204,25972,1455,5627,736889,770861,1637008
Israel,28518,20683,104562,85245,1020565,356070,1615643
Italy,402612,328329,8224,19339,3480280,3236664,7475448
Ivory Coast,177049,252029,635255,512740,0,0,1577073
Jamaica,115078,78537,81299,104447,986119,1057988,2423468
Japan,84657,226882,218180,102389,771246,1056419,2459773
Jordan,5032,297445,235949,133713,734113,769025,2175277
Kazakhstan,1568894,1364195,552645,471099,3719766,3945105,11621704
Kenya,77590,148747,115189,302842,457303,523364,1625035
Kuwait,611153,74718,51179,51377,259358,210727,1258512
Kyrgyzstan,275534,46422,251330,133885,621076,781950,2110197
Laos,32709,88513,121166,77953,366663,1292295,1979299
Latvia,167328,94609,27589,17722,275177,397745,980170
Lebanon,1079,137230,63073,88137,664073,816841,1770433
Lesotho,57318,20915,28032,20282,428039,327926,882512
Liberia,310246,0,98276,14159,432315,405732,1260728
Libya,128889,148922,71174,67310,110080,181279,707654
Lithuania,100024,105926,53920,48022,49016,652985,1009893
Luxembourg,4850,5365,10050,3214,57787,71545,152811
Macao,9731,8576,9783,9972,97851,144684,280597
Macedonia,56698,36934,26610,20147,447138,564949,1152476
Madagascar,13322,9127,19937,13138,79811,158873,294208
Malawi,919947,226609,48065,52484,212819,355596,1815520
Malaysia,197434,245215,347265,654996,1481202,1892736,4818848
Maldives,5369,1882,10563,10161,1963,3191,33129
Mali,194227,166602,106787,126632,1013760,1143309,2751317
Malta,42,3214,55,130,107412,108313,219166
Martinique,7994,4295,3372,3212,10506,9764,39143
Mauritania,17709,4904,14,10116,118099,158537,309379
Mauritius,20031,22798,13038,9863,140717,164008,370455
Mayotte,935,3122,2159,2419,1040,0,9675
Mexico,1884969,1532263,2775025,2040911,11859236,11881712,31974116
Micronesia,2660,13657,9718,8992,21895,32869,89791
Moldova,126327,252981,325668,182545,770528,1024551,2682600
Mongolia,88640,57758,20500,21583,32051,81311,301843
Montenegro,0,32459,43345,24925,36,261641,362406
Morocco,457543,503269,618781,677053,3016631,3047116,8320393
Mozambique,20166,24268,72156,73757,1179,954042,1145568
Myanmar,127270,36377,1004074,509226,514667,2947287,5138901
Namibia,1899,5275,19036,13363,16532,192392,248497
Nepal,226511,223416,206328,195573,983567,2005848,3841243
Netherlands,70853,110825,148471,193165,992913,1019145,2535372
New Caledonia,281,962,1094,1638,2269,6946,13190
New Zealand,37769,77058,101210,159727,624623,810169,1810556
Nicaragua,114804,158183,208390,201330,729242,629892,2041841
Niger,37885,21056,55069,48958,387330,383917,934215
Nigeria,180366,203256,319128,410714,1000523,1309063,3423050
North Korea,11728,5987,27473,28152,8933,10202,92475
Norway,16978,15704,35733,5476,183936,190350,448177
Oman,23340,232070,61958,18307,15337,26241,377253
Pakistan,2463754,556452,1926561,2024652,4678730,6098502,17748651
Palestine,54103,34308,234380,137717,7971,5959,474438
Panama,6802,8043,13934,10226,141141,133525,313671
Papua New Guinea,3955,2853,6958,6498,61197,40862,122323
Paraguay,49212,60090,97469,84559,510839,895998,1698167
Peru,303140,352231,628376,725157,1091079,1487776,4587759
Philippines,761230,841555,1150509,1248311,4275612,5970193,14247410
Poland,270523,233557,231208,48351,3155509,4294300,8233448
Portugal,104657,79703,17139,23531,2229620,2289642,4744292
Puerto Rico,73178,91748,155153,145661,1705207,1935897,4106844
Qatar,54250,14856,8038,313,9849,27270,114576
Reunion,856,829,2939,3817,0,0,8441
Romania,539019,316153,288236,174831,2769053,366849,4454141
Russia,58538,41540,39399,163692,11034681,10961164,22299014
Rwanda,1514059,0,47250,37352,263641,606728,2469030
Saint Lucia,5336,2299,2447,2940,0,0,13022
Saint Vincent & Grenadines,8910,8301,5871,5855,0,0,28937
Samoa,13698,15675,17956,15735,120419,134757,318240
Sao Tome & Principe,6519,6002,8251,7337,36179,84766,149054
Saudi Arabia,800179,1007470,95942,243297,178712,313824,2639424
Senegal,74468,169619,143746,145284,636633,643640,1813390
Serbia,23340,357139,348059,140657,196013,1014577,2079785
Sierra Leone,453979,206497,0,13341,267208,374691,1315716
Singapore,53449,53436,78450,23757,297234,337924,844250
Slovakia,54006,49142,20431,13,519716,612186,1255494
Slovenia,19346,9456,18061,17350,131895,171202,367310
Solomon Islands,1128,1161,745,877,5385,4248,13544
Somalia,894664,166867,202139,300941,813273,2032921,4410805
South Africa,17099,101318,95600,148096,875373,934364,2171850
South Korea,705887,582216,448144,401814,0,0,2138061
South Sudan,1096194,0,0,0,0,2018258,3114452
Spain,83240,3726,1,1868,1373024,1453098,2914957
Sri Lanka,257113,399810,135512,249657,1847829,1728372,4618293
Sudan,2979,710795,493549,512760,968141,2019643,4707867
Suriname,9857,10239,10138,13891,204431,263788,512344
Swaziland,38860,15881,46235,13241,160485,94196,368898
Sweden,22942,74057,51361,37726,317605,312196,815887
Switzerland,19690,101427,143845,149770,407581,644474,1466787
Syria,71962,130464,0,298768,945099,7776231,9222524
Tajikistan,297132,335799,422473,296352,791618,638249,2781623
Tanzania,32468,373530,355148,349594,317160,322830,1750730
Thailand,1108310,1277,97306,260371,811123,993253,3271640
Timor-Leste,15658,162241,838,49871,16810,38235,283653
Togo,131896,3248,27848,34114,369035,524460,1090601
Tonga,11208,8976,8515,8434,47369,62226,146728
Trinidad & Tobago,27197,22788,21603,21221,358468,371785,823062
Tunisia,45567,56477,82119,22189,651737,785623,1643712
Turkey,489441,258354,275342,225417,4261786,3037921,8548261
Turkmenistan,1834,52203,116332,57816,260953,258256,747394
Uganda,463705,369299,148116,197459,758294,775892,2712765
Ukraine,232963,782774,418164,311705,6525145,5995314,14266065
United Arab Emirates,110658,53024,104676,182111,55907,180090,686466
United Kingdom,459650,414504,603541,679646,4666172,4820072,11643585
United States,1288879,131802,1594500,1869951,2423175,3034407,10342714
Uruguay,25071,31301,105985,57050,353634,351045,924086
Uzbekistan,387091,416109,770596,533066,1954460,2071103,6132425
Vanuatu,322,7102,657,671,3890,9269,21911
Venezuela,87366,67842,88058,77022,521620,774208,1616116
Vietnam,338983,308515,453346,446324,2226401,2694270,6467839
Virgin Islands,6795,5935,4025,3862,51121,4660,76398
Western Sahara,575,0,0,0,3017140,3857805,6875520
Yemen,0,103760,149559,196733,1134687,1221130,2805869
Zambia,48057,101489,94981,107710,185904,278355,816496
Zimbabwe,272273,205696,701570,900199,1254353,738198,4072289
